year,high_school,bachelors_degree,men_high_school,men_bachelors_degree,women_high_school,women_bachelors_degree
2022,21.94,41.6,24.08,49.01,18.93,34.39
2021,22.28,41.32,24.36,47.83,19.36,35.08
2020,22.7,41.65,25.09,48.15,19.35,35.41
2019,21.64,39.61,23.99,45.74,18.48,33.8
2018,21.5,38.87,23.72,44.97,18.49,33.03
2017,21.26,38.65,23.47,44.5,18.31,33.01
2016,21,38.73,23.01,44.98,18.33,32.66
2015,20.81,37.96,22.93,43.47,18.05,32.54
2014,20.34,36.47,22.4,41.14,17.72,31.98
2013,20.31,37,22.28,42.34,17.84,31.79
2012,20.5,36.76,22.65,42.25,17.82,31.45
2011,20.67,36.44,22.81,41.41,18.01,31.63
2010,21.06,37.42,23.28,42.71,18.43,32.33
2009,21.42,37.3,23.74,43.04,18.7,31.84
2008,20.93,37.04,23.3,42.34,18.09,31.83
2007,21.04,37.23,23.39,42.55,18.26,31.96
2006,21.17,36.99,23.55,41.97,18.32,32.08
2005,21.07,36.89,23.34,41.96,18.41,31.82
2004,21.33,36.78,23.74,41.74,18.59,31.66
2003,21.5,37.14,23.89,42.18,18.85,32
2002,21.39,37.26,23.92,42.36,18.59,32.01
2001,21.1,37.07,23.67,42.14,18.28,31.72
2000,20.8,36.44,23.48,41.41,17.87,31.19
1999,20.67,35.76,23.31,40.71,17.78,30.53
1998,20.39,34.97,22.99,39.63,17.54,30.01
1997,19.95,33.44,22.58,37.84,17.11,28.84
1996,19.62,32.5,22.11,36.8,16.92,27.98
1995,19.68,32.86,22.2,37.07,16.95,28.21
1994,19.88,32.72,22.39,36.89,17.2,28.08
1993,19.65,32.16,22.18,36.37,16.99,27.58
1992,19.65,32.16,22.32,36.38,16.88,27.51
1991,19.77,31.87,22.49,36.36,16.97,26.92
1990,19.74,32.21,22.69,36.77,16.69,27.07
1989,20.07,31.89,23.31,36.6,16.77,26.48
1988,20.66,33.41,24.18,39.34,17.08,26.37
1987,20.6,33.19,24.17,39.07,16.98,26.11
1986,20.61,32.67,24.24,38.52,16.94,25.45
1985,20.4,31.5,24.14,37,16.6,24.69
1984,20.3,31.07,24.06,36.63,16.45,24.11
1983,20.43,30.73,24.33,36.21,16.52,23.75
1982,20.65,30.55,24.64,35.8,16.63,23.57
1981,20.68,30.17,24.84,35.41,16.46,22.94
1980,20.9,30.04,25.18,35.16,16.54,22.96
1979,21.62,30.57,26.04,35.72,16.94,23.26
1978,21.52,30.9,25.97,35.92,16.84,23.65
1977,21.5,31.07,25.97,36.09,16.71,23.88
1976,21.76,31.46,26.14,36.42,17.01,24.52
1975,21.55,31.45,26.02,36.21,16.54,24.44
1974,21.6,31.69,26.15,36.62,16.49,24.7
1973,22.22,32.8,26.9,37.69,16.97,25.5
